# no.  UserID Distance DBSource ALPHA_GR_DEC_ORDER DELTA_GR_DEC_ORDER redshift redshift_err FAST_bc03_lmass FAST_ma05_lmass
# start data
  180  1125                       0.00 1125  53.16838870 -27.91497550  0.00000  0.0000  9.740  9.740
  181  11275                      0.00 11275  53.16151540 -27.80752570  0.00000  0.0000 10.180 10.180
  182  11278                      0.00 11278  53.12212990 -27.80729120  0.00000  0.0000  8.880  8.880
  183  11288                      0.00 11288  53.17554760 -27.80689930  0.00000  0.0000  9.040  9.040
  184  11293                      0.00 11293  53.01818010 -27.80666880  0.00000  0.0000 10.510 10.510
  185  11298                      0.00 11298  53.17397230 -27.80691800  0.00000  0.0000 10.440 10.440
  186  11311                      0.00 11311  53.11019890 -27.80683990  0.00000  0.0000  9.400  9.400
  187  1132                       0.00 1132  53.08613930 -27.91481440  0.00000  0.0000 10.260 10.260
  188  11333                      0.00 11333  53.11483390 -27.80706480  0.00000  0.0000 10.640 10.640
  189  1134                       0.00 1134  53.12492830 -27.91503010  9.99990  0.0001  9.470  9.470
  190  11342                      0.00 11342  53.17843850 -27.80653450  0.00000  0.0000  8.890  8.890
  191  11350                      0.00 11350  53.08749150 -27.80660680  0.00000  0.0000  8.850  8.850
  192  11368                      0.00 11368  53.11650890 -27.80674560  0.00000  0.0000 10.900 10.900
  193  11369                      0.00 11369  53.07128670 -27.80641550  0.00000  0.0000  9.420  9.420
  194  1137                       0.00 1137  53.13326140 -27.91475590  0.00000  0.0000  9.200  9.200
  195  1138                       0.00 1138  53.17083340 -27.91466360  2.53910  4.0001  9.430  9.430
  196  11382                      0.00 11382  53.17321320 -27.80615640  0.00000  0.0000  9.140  9.140
  197  11388                      0.00 11388  53.14605030 -27.80644600  9.99990  0.0001 10.370 10.370
  198  11398                      0.00 11398  53.08674010 -27.80622180  1.73650  3.0000  9.510  9.510
  199  11414                      0.00 11414  53.11523870 -27.80580920  0.00000  0.0000  9.210  9.210
  200  11429                      0.00 11429  53.07735150 -27.80576630  0.00000  0.0000  9.080  9.080
  201  11434                      0.00 11434  53.07945160 -27.80582050  0.00000  0.0000  9.620  9.620
  202  11442                      0.00 11442  53.03999150 -27.80557460  0.00000  0.0000  9.080  9.080
  203  11445                      0.00 11445  53.15291460 -27.80576270  0.00000  0.0000  8.930  8.930
  204  11460                      0.00 11460  53.18297010 -27.80655500  0.00000  0.0000  7.170  7.170
  205  11465                      0.00 11465  53.02768450 -27.80545410  0.00000  0.0000  9.480  9.480
  206  11466                      0.00 11466  53.02423280 -27.80562840  0.00000  0.0000 10.790 10.790
  207  1147                       0.00 1147  53.14830730 -27.91473450  0.00000  0.0000 10.700 10.700
  208  11474                      0.00 11474  53.06346620 -27.80596030  1.82910  2.0001  9.670  9.670
  209  11521                      0.00 11521  53.11844370 -27.80531570  2.62740  3.0000  9.640  9.640
  210  11527                      0.00 11527  53.11550970 -27.80514230  9.99990  0.0001  9.370  9.370
  211  1153                       0.00 1153  53.15043340 -27.91429090  0.00000  0.0000  8.960  8.960
  212  11539                      0.00 11539  53.04389490 -27.80488540  0.00000  0.0000  9.440  9.440
  213  11544                      0.00 11544  53.21270470 -27.80525070  0.00000  0.0000  9.340  9.340
  214  11548                      0.00 11548  53.05917110 -27.80464820  0.00000  0.0000  9.340  9.340
  215  11554                      0.00 11554  53.12690730 -27.80461580  0.00000  0.0000 10.640 10.640
  216  11557                      0.00 11557  53.05103760 -27.80476270  0.00000  0.0000  9.840  9.840
  217  11571                      0.00 11571  53.17171000 -27.80456140  0.00000  0.0000  9.510  9.510
  218  11582                      0.00 11582  53.10710090 -27.80474880  0.00000  0.0000 11.020 11.020
  219  11592                      0.00 11592  53.05164750 -27.80459990  2.81210  4.0001  9.640  9.640
  220  11597                      0.00 11597  53.14964170 -27.80479530  0.00000  0.0000 10.220 10.220
  221  11607                      0.00 11607  53.08821120 -27.80485520  9.99990  0.0001  9.540  9.540
  222  11608                      0.00 11608  53.21890490 -27.80426420  3.47230  4.0000  9.960  9.960
  223  11625                      0.00 11625  53.09479330 -27.80420580  0.00000  0.0000  9.150  9.150
  224  11629                      0.00 11629  53.17075210 -27.80468880  1.76260  3.0000  9.580  9.580
  225  1163                       0.00 1163  53.09728660 -27.91438980  9.99990  0.0001  9.240  9.240
  226  11649                      0.00 11649  53.12759310 -27.80400620  0.00000  0.0000  9.130  9.130
  227  11653                      0.00 11653  53.14073960 -27.80399200  2.61190  4.0000  8.990  8.990
  228  11659                      0.00 11659  53.10728110 -27.80407050  0.00000  0.0000 10.670 10.670
  229  1166                       0.00 1166  53.12025750 -27.91401850  0.00000  0.0000  9.350  9.350
  230  11664                      0.00 11664  53.09333430 -27.80428030  9.99990  0.0001 10.570 10.570
  231  11677                      0.00 11677  53.09983420 -27.80411310  0.00000  0.0000  9.810  9.810
  232  11693                      0.00 11693  53.18663900 -27.80366850  0.00000  0.0000  9.090  9.090
  233  11695                      0.00 11695  53.16904950 -27.80372120  0.00000  0.0000  9.040  9.040
  234  11701                      0.00 11701  53.09402810 -27.80412630  9.99990  0.0001 11.210 11.210
  235  11706                      0.00 11706  53.15445740 -27.80402790  1.86860  3.0000  9.810  9.810
  236  11725                      0.00 11725  53.21191630 -27.80384710  0.00000  0.0000 10.190 10.190
  237  11731                      0.00 11731  53.12076570 -27.80332530  0.00000  0.0000  9.440  9.440
  238  11734                      0.00 11734  53.12414650 -27.80350010  0.00000  0.0000  9.420  9.420
  239  11740                      0.00 11740  53.11586240 -27.80338060  9.99990  0.0001  9.220  9.220
  240  11758                      0.00 11758  53.19329490 -27.80310680  0.00000  0.0000  9.590  9.590
  241  11767                      0.00 11767  53.01994790 -27.80317040  0.00000  0.0000  9.960  9.960
  242  1177                       0.00 1177  53.10652320 -27.91387630  2.79940  2.0000  7.620  7.620
  243  11781                      0.00 11781  53.03800720 -27.80313460  0.00000  0.0000 10.060 10.060
  244  118                        0.00 118  53.13568590 -27.94551450  0.00000  0.0000  9.260  9.260
  245  1180                       0.00 1180  53.17245460 -27.91364750  0.00000  0.0000  9.920  9.920
  246  11800                      0.00 11800  53.16134110 -27.80286990  0.00000  0.0000  9.940  9.940
  247  11820                      0.00 11820  53.12310900 -27.80339010  0.00000  0.0000 11.060 11.060
  248  11821                      0.00 11821  53.08993150 -27.80289500  0.00000  0.0000  9.290  9.290
  249  11823                      0.00 11823  53.17868330 -27.80262810  0.00000  0.0000 10.980 10.980
  250  11834                      0.00 11834  53.09229360 -27.80315730  0.00000  0.0000 11.300 11.300
  251  11842                      0.00 11842  53.16418030 -27.80273850  0.00000  0.0000  9.650  9.650
  252  1185                       0.00 1185  53.17035970 -27.91366670  0.00000  0.0000  9.490  9.490
  253  11878                      0.00 11878  53.03761560 -27.80200350  0.00000  0.0000  9.230  9.230
  254  11894                      0.00 11894  53.18604450 -27.80216900  2.82530  2.0000  9.350  9.350
  255  11904                      0.00 11904  53.12003540 -27.80210380  0.00000  0.0000  9.180  9.180
  256  1191                       0.00 1191  53.11384850 -27.91401820  0.00000  0.0000 10.190 10.190
  257  11923                      0.00 11923  53.09212180 -27.80185930  1.77380  3.0000  9.480  9.480
  258  1194                       0.00 1194  53.16720230 -27.91440330  2.12140  3.0001 10.130 10.130
  259  11943                      0.00 11943  53.02952020 -27.80166100  0.00000  0.0000  9.360  9.360
  260  11954                      0.00 11954  53.04193930 -27.80142550  0.00000  0.0000  9.290  9.290
  261  11959                      0.00 11959  53.03090350 -27.80166390  0.00000  0.0000  9.380  9.380
  262  11970                      0.00 11970  53.23046030 -27.80123020  0.00000  0.0000  9.590  9.590
  263  11975                      0.00 11975  53.09883900 -27.80156240  9.99990  0.0001  9.680  9.680
  264  11979                      0.00 11979  53.09378920 -27.80131090  0.00000  0.0000 10.740 10.740
  265  11992                      0.00 11992  53.23069120 -27.80096120  0.00000  0.0000  9.110  9.110
  266  12000                      0.00 12000  53.21182040 -27.80133500  2.14490  4.0000  9.810  9.810
  267  12002                      0.00 12002  53.14973690 -27.80118780  0.00000  0.0000  9.830  9.830
  268  12016                      0.00 12016  53.09280730 -27.80120780  0.00000  0.0000 10.460 10.460
  269  12017                      0.00 12017  53.09389450 -27.80120100  0.00000  0.0000  9.470  9.470
  270  12018                      0.00 12018  53.21308560 -27.80078910  0.00000  0.0000  9.140  9.140
  271  1202                       0.00 1202  53.21311280 -27.91329340  0.00000  0.0000  9.420  9.420
  272  12047                      0.00 12047  53.07857220 -27.80057010  0.00000  0.0000  9.160  9.160
  273  12081                      0.00 12081  53.22547380 -27.80037030  0.00000  0.0000  9.190  9.190
  274  12091                      0.00 12091  53.09818080 -27.80071400  1.50760  3.0000  9.450  9.450
  275  12102                      0.00 12102  53.02460490 -27.80060510  0.00000  0.0000  9.660  9.660
  276  12104                      0.00 12104  53.05803570 -27.80007400  0.00000  0.0000  9.570  9.570
  277  12108                      0.00 12108  53.11893000 -27.80003490  0.00000  0.0000  9.920  9.920
  278  12113                      0.00 12113  53.12251850 -27.80016460  0.00000  0.0000 10.480 10.480
  279  12122                      0.00 12122  53.03936150 -27.80188690  2.82800  4.0000 11.060 11.060
  280  12146                      0.00 12146  53.09010830 -27.80004800  0.00000  0.0000  9.960  9.960
  281  12158                      0.00 12158  53.11673920 -27.79962950  0.00000  0.0000  9.700  9.700
  282  12168                      0.00 12168  53.03814430 -27.79982360  0.00000  0.0000 10.050 10.050
  283  1217                       0.00 1217  53.10574400 -27.91317920  0.00000  0.0000  9.380  9.380
  284  12179                      0.00 12179  53.23147570 -27.79948610  0.00000  0.0000  9.790  9.790
  285  12187                      0.00 12187  53.12616930 -27.79955090  0.00000  0.0000 10.000 10.000
  286  12194                      0.00 12194  53.04228500 -27.79973040  0.00000  0.0000 10.340 10.340
  287  12200                      0.00 12200  53.09978220 -27.79951240  0.00000  0.0000  9.890  9.890
  288  12201                      0.00 12201  53.11081380 -27.80058440  0.00000  0.0000 10.060 10.060
  289  12206                      0.00 12206  53.13133160 -27.79951580  0.00000  0.0000  9.150  9.150
  290  12207                      0.00 12207  53.05670890 -27.79983040  0.00000  0.0000  9.830  9.830
  291  12210                      0.00 12210  53.15255170 -27.80037280  2.44620  2.0001  9.470  9.470
  292  12229                      0.00 12229  53.21299040 -27.79895970  0.00000  0.0000  9.630  9.630
  293  1223                       0.00 1223  53.10850100 -27.91291680  0.00000  0.0000  9.290  9.290
  294  12239                      0.00 12239  53.12953430 -27.79958520  0.00000  0.0000 10.520 10.520
  295  12241                      0.00 12241  53.14045900 -27.79906340  0.00000  0.0000  9.110  9.110
  296  1225                       0.00 1225  53.15633840 -27.91306230  2.40310  2.0001  7.080  7.080
  297  12252                      0.00 12252  53.01638230 -27.79889320  0.00000  0.0000  9.700  9.700
  298  12254                      0.00 12254  53.12977250 -27.79913350  0.00000  0.0000  9.530  9.530
  299  12262                      0.00 12262  53.02685050 -27.79892900  0.00000  0.0000  8.970  8.970
  300  12266                      0.00 12266  53.14557640 -27.79889770  0.00000  0.0000  9.860  9.860
  301  12271                      0.00 12271  53.20036290 -27.79893200  0.00000  0.0000 10.370 10.370
  302  12291                      0.00 12291  53.05999490 -27.79889640  0.00000  0.0000  9.570  9.570
