# ID_1   ID_2   R1/2_cir   R1/2_ell   Rpet_cir   Rpet_ell   C           A       G      M20    
  13162  5004   0.66       0.72       1.53       1.59       3.02        0.15    0.47   -1.25  
  13183  5056   0.21       0.25       0.42       0.56       2.63        0.02    0.48   -1.33  
  13252  5101   0.2        0.2        0.41       0.42       2.12        -0.08   0.46   -1.35  
  13271  5072   0.16       0.16       0.35       0.36       2.83        0.04    0.5    -1.58  
  13308  5114   0.34       0.38       0.85       0.88       2.84        0.34    0.55   -1.15  
  13340  5148   0.17       0.19       0.37       0.4        2.6         -0.04   0.48   -1.65  
  13414  5127   0.23       0.25       0.52       0.57       2.87        0.04    0.54   -1.74  
  13506  5182   0.21       0.22       0.45       0.46       2.48        -0.08   0.42   -1.58  
  13508  5231   0.41       0.47       0.95       1.11       3.74        0.04    0.51   -1.26  
  13552  5214   0.21       0.23       0.46       0.51       2.43        0.07    0.46   -1.54  
  13586  5247   0.3        0.33       0.78       0.84       3.28        0.02    0.54   -1.9   
  13587  5254   0.24       0.27       0.5        0.56       2.7         0.03    0.5    -1.73  
  13751  5323   0.54       0.54       1.64       1.43       6.19        0.06    0.54   -0.89  
  13788  5353   0.32       0.4        0.81       0.86       2.83        0.32    0.5    -1.18  
  13849  5382   0.35       0.37       0.81       0.86       2.94        0.11    0.52   -1.52  
  13871  5355   0.21       0.23       0.45       0.5        2.65        0.01    0.49   -1.64  
  13975  5378   0.33       0.4        0.62       0.71       2.33        0.03    0.4    -1.02  
  14020  5482   0.27       0.31       0.71       0.78       3.01        0.18    0.55   -1.43  
  14037  5466   0.28       0.36       0.62       0.75       2.69        0.03    0.47   -1.64  
  14040  5417   0.23       0.25       0.48       0.52       2.39        -0.0    0.44   -1.61  
  14042  5381   0.3        0.32       0.7        0.74       2.76        0.13    0.52   -1.41  
  14091  5513   0.34       0.41       0.73       0.94       2.65        -0.18   0.47   -1.28  
  14096  5532   0.26       0.28       0.49       0.54       2.17        -0.08   0.39   -1.32  
