#ID RA DEC
22917 53.0315484 -27.7072734
23095 53.1604153 -27.7077479
23170 53.1574375 -27.7090163
23179 53.1305455 -27.7095715
23249 53.0404791 -27.7107155
23312 53.1121808 -27.7110372
23375 53.1173939 -27.710787
23449 53.1263786 -27.7112469
23482 53.0146121 -27.7125391
23486 53.1183841 -27.7129369
23509 53.1348328 -27.7133618
23567 53.1370142 -27.7128503
23568 53.0980823 -27.713706
23615 53.1680004 -27.7113536
23632 53.1171903 -27.7134094
23714 53.0104115 -27.7140792
23842 53.1390094 -27.7152869
23888 53.1231701 -27.7155784
24004 53.1592637 -27.6682332
24006 53.1405869 -27.6729781
24019 53.1420756 -27.6681991
24150 53.1679902 -27.6669552
24211 53.1317224 -27.6690133
24280 53.1015604 -27.6769226
24351 53.1636264 -27.6655092
24358 53.1580721 -27.6737668
24552 53.1205215 -27.6810337
24624 53.0965458 -27.6882206
24768 53.1036304 -27.6800937
24809 53.1234419 -27.6827284
24854 53.105437 -27.6868793
24884 53.156878 -27.6809828
24896 53.1456239 -27.6852483
24991 53.0858181 -27.6867475
25025 53.0827618 -27.6861444
25151 53.1433323 -27.6900943
25213 53.065133 -27.6898493
25239 53.1453579 -27.6902429
25285 53.1345631 -27.6906532
25308 53.0792916 -27.691369
25355 53.1124497 -27.692628
25391 53.0761694 -27.6916083
25478 53.111644 -27.6915545
25514 53.1613782 -27.6943473
25635 53.0408847 -27.6968594
25715 53.0946848 -27.6946506
25870 53.1135583 -27.6904778
25873 53.133659 -27.6986513
25952 53.1211362 -27.6980751
25981 53.01325 -27.6985961
26074 53.1087095 -27.7000536
26085 53.0740749 -27.700128
26136 53.1454344 -27.6980053
26222 53.1117066 -27.698995
26236 53.1133356 -27.6977131
26252 53.0942927 -27.7009161
26355 53.034484 -27.7032739
26459 53.1290229 -27.7021682
26464 53.1254021 -27.7033751
26474 53.033715 -27.7050711
26496 53.0206631 -27.7008296
26554 53.1411618 -27.7010895
26637 53.1048567 -27.7052183
26654 53.0626031 -27.7025194
26688 53.0948044 -27.7032234
26736 53.110028 -27.7078607
26766 53.0624063 -27.7069132
26774 53.1483754 -27.7043089
