#ID ICD_IH ICD_IH_ERR ston_I PR alpha_IH
1888 0.0155521713977 0.00263508265384 35.7969806336 7 2.3104061833
3175 0.322037011342 0.00714070686608 39.0194744093 8 1.59745640946
18312 0.186041103652 0.0106434071822 7.69121441133 13 1.95365602271
17033 0.0119862042265 0.0141705392473 5.9070423018 8 2.84467506955
9557 0.0726717233165 0.00198694366273 46.7160864297 11 3.37416683319
15220 0.0303321514619 0.00539902943915 137.772251665 9 0.985298699835
357 0.06066806006 0.000542095933457 51.6589462525 7 1.58852126178
887 0.096809681092 0.00401460625242 22.6518729657 15 1.81982648147
23913 0.0304859575081 0.00600496596868 16.7572920983 8 1.0843063211
24358 0.0441449757076 0.00101908601959 33.1339244408 17 2.41302141061
13373 0.0453950321412 0.000437116007073 54.0136210206 7 3.39025120161
26027 0.188395315069 0.00661485603837 11.5362281865 9 1.91929664716
1526 0.0345372990646 0.0317940876444 15.3217106396 12 1.56472942688
2644 0.0341521039514 1.06436318753e-05 350.501465548 7 1.82682379145
25171 0.0636772599826 0.015213560008 11.045707334 10 1.02584043748
9550 0.197061803407 0.0178488709959 7.23053759073 9 1.57900579514
11693 0.0146057841502 0.00156983918823 90.5886477153 6 2.3700568177
12809 0.0307129812296 7.31380215381e-05 161.495743329 6 1.92538918743
23973 0.485619974837 0.00828911837808 7.07729363403 13 6.74629999096
6867 0.153033948942 0.0474606203525 7.46926863932 9 1.51884021523
21899 0.413482705232 0.0166819899288 6.92974359657 16 2.41876101881
9431 0.123011209907 0.00834076004996 20.7144825698 15 1.55434124018
5112 0.301438761653 0.0135682864658 7.44134505782 15 1.70790705114
18134 0.0381086522415 0.00415179272224 19.4806255409 14 2.05997785489
13967 0.0378062769521 0.00187142884104 25.5109173974 12 1.8044936059
2309 0.80488230084 0.0130709790415 5.77283903553 11 1.79857509822
17043 0.0647348456635 0.00775365908159 8.17778984264 15 4.01312869001
16527 0.100402628832 0.000227390880466 107.101775462 7 1.84777242901
23275 0.01678296657 0.00368816089597 19.4142227197 10 2.25752532724
12179 0.283295507564 0.011259174135 8.64957520221 14 3.17249908769
8902 0.0546874608707 0.00562299323803 16.2263558451 14 4.71542785328
25849 0.0429521143375 0.00777786683465 11.1869881631 14 2.44031806222
21976 0.0174127130873 0.00367608550508 15.6512588656 6 1.90592296004
26531 0.121433142934 0.0114209380202 8.53030855063 12 3.51428044198
8251 0.0760919978529 0.00477879634328 14.9232931061 12 2.67628011701
8182 0.00976395248754 0.00130861267744 26.9245844929 12 2.80603286549
8371 0.152055725851 0.0115749289168 7.18625297452 13 2.50364090066
17757 0.0376674220836 0.00310387774725 25.1690757161 11 2.05595824779
19700 0.205872180889 0.00137678694176 34.23888878 15 2.99407014877
643 0.206460127389 0.013410834362 8.87273000621 9 1.4560983038
22743 0.0476213967611 0.00277631463665 24.7490909406 8 1.29476968639
6448 0.129730489944 0.0175964501842 8.87665548124 11 2.59467215362
25981 0.051165034899 0.00154853021494 31.1347022475 6 1.8007694973
14707 0.0685642969184 0.000993050099639 27.3647851004 11 3.1670496189
20091 0.0037964091831 0.00421500803444 29.3407518642 13 1.17348116119
23893 0.177791510978 0.00580823510105 18.7147156456 19 2.32604889064
8646 0.18698808259 0.00856130786804 13.3582735023 13 2.42492236656
6338 0.0301204681027 0.00920776559004 10.6915996988 8 2.28832765712
6177 0.0399863119335 0.00291041360283 28.9192844735 10 1.29834148001
18915 0.0818513963826 0.00378373030041 22.1543195804 7 1.03191446781
25057 0.0153676316601 0.0220953302466 6.98094457148 12 1.76648223207
19186 0.110056343491 0.00351871954692 26.4373854617 19 2.35235916717
16604 0.0498220142867 0.000130659767819 76.930203385 8 2.45753033741
14772 0.0266589241365 0.00244887930272 16.6363719625 6 2.02811120136
15379 0.503927835097 0.0178580280944 4.28350335255 11 2.27692536997
3023 0.063227158346 0.00804466598344 13.1214006996 8 1.49832737674
20255 0.0172482666392 0.00278859072972 29.644311644 8 1.66184224923
20548 0.0161643692662 0.00503115980574 14.0759083379 9 1.84055850425
21955 0.017609481431 0.00826649096551 10.5262447167 8 1.62359005973
7046 0.0379135908651 0.00107303994786 22.2972945284 7 2.00524751674
11701 0.428031469998 0.00262627654448 10.8085442315 10 4.3593490476
20815 0.0526600109068 0.0104064735253 15.1125434604 15 1.96950823161
13004 0.0748690476281 0.00374111920432 24.3177809251 10 1.86936284903
6620 0.0603297375892 0.00472616633087 18.8653895856 13 1.748385857
4057 0.0797839094075 0.0184880361208 9.38146783253 10 2.03481968289
5487 0.0224048124188 0.00298844763729 27.6423776311 10 1.55656757704
6678 0.466550761255 0.0129328006896 6.1688154049 16 3.14843261856
9174 0.0088730258877 0.00120399465876 27.2782490903 6 2.34763211982
8409 0.0795210646028 0.000947444457419 34.9967277091 16 3.96440977214
9453 0.631653080787 0.0180578847053 8.29838561477 21 0.860260123582
14875 0.592889562411 0.0121280825812 5.3557381789 14 4.07764759098
23170 0.0597444446908 0.000417575412679 65.8304146098 9 1.27649437243
25388 0.0385852214428 0.0198469815928 6.35788274644 10 2.43141872986
18105 0.0541591332376 0.0147104622729 10.7737497045 10 1.51496179157
